,experiment,rouge_type,score_type,score,confidence_level,level1,-,level2
3022,MI_OP_A,ROUGE-SU*,Average_P:,0.01849,(95%-conf.int.,0.0167,-,0.01961)
3023,MI_OP_A,ROUGE-SU*,Average_F:,0.00449,(95%-conf.int.,0.004079999999999999,-,0.00480)
3024,MICROPINION,ROUGE-1,Average_R:,0.03207,(95%-conf.int.,0.0,-,0.05263)
3025,MICROPINION,ROUGE-1,Average_P:,0.08342000000000001,(95%-conf.int.,0.0,-,0.12500)
3026,MICROPINION,ROUGE-1,Average_F:,0.04625,(95%-conf.int.,0.0,-,0.07407)
3027,MICROPINION,ROUGE-2,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
3028,MICROPINION,ROUGE-2,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
3029,MICROPINION,ROUGE-2,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
3030,MICROPINION,ROUGE-SU*,Average_R:,0.00477,(95%-conf.int.,0.0,-,0.00781)
3031,MICROPINION,ROUGE-SU*,Average_P:,0.03708,(95%-conf.int.,0.0,-,0.05556)
3032,MICROPINION,ROUGE-SU*,Average_F:,0.00845,(95%-conf.int.,0.0,-,0.01369)
3033,MI_MS_10,ROUGE-1,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
3034,MI_MS_10,ROUGE-1,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
3035,MI_MS_10,ROUGE-1,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
3036,MI_MS_10,ROUGE-2,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
3037,MI_MS_10,ROUGE-2,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
3038,MI_MS_10,ROUGE-2,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
3039,MI_MS_10,ROUGE-SU*,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
3040,MI_MS_10,ROUGE-SU*,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
3041,MI_MS_10,ROUGE-SU*,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
